ID,CASENO,OFFENSE,CVLEGEND,CVDOW,Block_Location,BLKADDR,City,State,Day,Lat,Lon,timestamp
1700,17020457,ROBBERY,ROBBERY,4,"100 SEAWALL DR
Berkeley, CA
(37.863611, -122.317566)",100 SEAWALL DR,Berkeley,CA,Thursday,37.863611,-122.317566,13/04/2017 1:00
1701,17018778,DISTURBANCE,DISORDERLY CONDUCT,2,"CHANNING WAY &amp; SHATTUCK AVE
Berkeley, CA
(37.865791, -122.26751)",CHANNING WAY & SHATTUCK AVE,Berkeley,CA,Tuesday,37.865791,-122.26751,4/4/2017 18:00
1702,17020856,ROBBERY,ROBBERY,6,"PIEDMONT AVENUE &amp; CHANNING WAY
Berkeley, CA
(37.86793, -122.251798)",PIEDMONT AVENUE & CHANNING WAY,Berkeley,CA,Saturday,37.86793,-122.251798,15/04/2017 0:33
1703,17091170,THEFT FELONY (OVER $950),LARCENY,5,"1600 WOOLSEY ST
Berkeley, CA
(37.850899, -122.276174)",1600 WOOLSEY ST,Berkeley,CA,Friday,37.850899,-122.276174,9/6/2017 17:30
1704,17019474,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,6,"UNIVERSITY AVENUE &amp; M L KING JR WAY
Berkeley, CA
",UNIVERSITY AVENUE & M L KING JR WAY,Berkeley,CA,Saturday,,,8/4/2017 0:53
1705,17038429,ALCOHOL OFFENSE,LIQUOR LAW VIOLATION,1,"1700 SAN PABLO AVE
Berkeley, CA
(37.87325, -122.293558)",1700 SAN PABLO AVE,Berkeley,CA,Monday,37.87325,-122.293558,3/7/2017 15:12
1706,17038472,THEFT MISD. (UNDER $950),LARCENY,1,"2700 GRANT ST
Berkeley, CA
(37.85931, -122.273495)",2700 GRANT ST,Berkeley,CA,Monday,37.85931,-122.273495,3/7/2017 19:00
1707,17040816,VEHICLE STOLEN,MOTOR VEHICLE THEFT,4,"6300 DOVER ST
Berkeley, CA
",6300 DOVER ST,Berkeley,CA,Thursday,,,13/07/2017 20:00
1708,17022476,NARCOTICS,DRUG VIOLATION,6,"SECOND STREET &amp; PAGE ST
Berkeley, CA
(37.875531, -122.304855)",SECOND STREET & PAGE ST,Berkeley,CA,Saturday,37.875531,-122.304855,22/04/2017 21:11
1709,17036348,DOMESTIC VIOLENCE,FAMILY OFFENSE,5,"DELAWARE STREET &amp; EIGHTH ST
Berkeley, CA
(37.871013, -122.296366)",DELAWARE STREET & EIGHTH ST,Berkeley,CA,Friday,37.871013,-122.296366,23/06/2017 23:57
1710,17045943,VANDALISM,VANDALISM,0,"1600 CARLETON ST
Berkeley, CA
(37.859889, -122.278167)",1600 CARLETON ST,Berkeley,CA,Sunday,37.859889,-122.278167,6/8/2017 12:35
1711,17024508,NARCOTICS,DRUG VIOLATION,2,"DWIGHT WAY &amp; WARRING ST
Berkeley, CA
(37.8659, -122.251095)",DWIGHT WAY & WARRING ST,Berkeley,CA,Tuesday,37.8659,-122.251095,2/5/2017 0:42
1712,17091405,BURGLARY AUTO,BURGLARY - VEHICLE,4,"200 UNIVERSITY AVE
Berkeley, CA
(37.865491, -122.310065)",200 UNIVERSITY AVE,Berkeley,CA,Thursday,37.865491,-122.310065,20/07/2017 19:00
1713,17091644,VANDALISM,VANDALISM,6,"2000 KITTREDGE ST
Berkeley, CA
(37.868204, -122.270054)",2000 KITTREDGE ST,Berkeley,CA,Saturday,37.868204,-122.270054,19/08/2017 13:25
1714,17043890,THEFT MISD. (UNDER $950),LARCENY,4,"1500 WALNUT ST
Berkeley, CA
(37.880376, -122.268183)",1500 WALNUT ST,Berkeley,CA,Thursday,37.880376,-122.268183,27/07/2017 17:45
1715,17026632,ROBBERY,ROBBERY,4,"2500 HILLEGASS AVE
Berkeley, CA
(37.865149, -122.256487)",2500 HILLEGASS AVE,Berkeley,CA,Thursday,37.865149,-122.256487,11/5/2017 14:55
1716,17048354,THEFT FELONY (OVER $950),LARCENY,4,"1900 GRANT ST
Berkeley, CA
(37.873017, -122.275481)",1900 GRANT ST,Berkeley,CA,Thursday,37.873017,-122.275481,17/08/2017 11:30
1717,17091253,THEFT MISD. (UNDER $950),LARCENY,6,"2150 SHATTUCK AVE
Berkeley, CA
(37.870345, -122.268073)",2150 SHATTUCK AVE,Berkeley,CA,Saturday,37.870345,-122.268073,24/06/2017 18:10
1718,17037708,THEFT MISD. (UNDER $950),LARCENY,5,"1500 HOPKINS ST
Berkeley, CA
(37.881004, -122.283225)",1500 HOPKINS ST,Berkeley,CA,Friday,37.881004,-122.283225,30/06/2017 10:23
1719,17014692,THEFT MISD. (UNDER $950),LARCENY,1,"SHATTUCK AVENUE &amp; ROSE ST
Berkeley, CA
(37.88205, -122.269454)",SHATTUCK AVENUE & ROSE ST,Berkeley,CA,Monday,37.88205,-122.269454,13/03/2017 13:00
1720,17029207,BURGLARY AUTO,BURGLARY - VEHICLE,2,"2100 CHANNING WAY
Berkeley, CA
(37.865826, -122.267244)",2100 CHANNING WAY,Berkeley,CA,Tuesday,37.865826,-122.267244,23/05/2017 12:30
1721,17049073,DISTURBANCE,DISORDERLY CONDUCT,0,"1800 CHANNING WAY
Berkeley, CA
(37.864872, -122.274587)",1800 CHANNING WAY,Berkeley,CA,Sunday,37.864872,-122.274587,20/08/2017 10:00
